descripcion_limpia,categoria
Festival música,Ocio
Crema facial,Ocio
curso,Educación
Articulos de limpieza,Vivienda
Aretes,Ocio
Alquiler vivienda,Vivienda
pago agua,Servicios
Seguro de gastos médicos,Salud
vegetales,Alimentacion
Clases de inglés,Educación
Suscripción Disney,Ocio
Medicina,Salud
uber,Transporte
Receta medica,Salud
Utiles escolares,Educación
Utensilios de cocina,Vivienda
Estudio medico,Salud
Surf,Ocio
Reparacion casa,Vivienda
Camión,Transporte
Desayuno,Alimentacion
Set de ducha,Ocio
Comic,Ocio
Pago de hipoteca,Vivienda
Juegos,Ocio
Artículos de limpieza,Vivienda
Frutas,Alimentacion
pastilla,Salud
Examen certificación,Educación
Seguro médico,Salud
PEMEX,Transporte
Antibiotico,Salud
Cita doctor,Salud
Utensilios de cocina,Vivienda
Recibo de luz,Servicios
DiDi,Transporte
Gasolinera PEMEX,Transporte
Pago telefonia,Servicios
Recarga Metro,Transporte
Clase particular,Educación
Pago de celular,Servicios
Curso de idiomas,Educación
Cocina,Vivienda
Inscripción curso,Educación
Compra de despensa,Alimentacion
Curso inglés,Educación
Pedido de comida,Alimentacion
Uber eats,Alimentacion
Uber Eats,Alimentacion
PREMIUM,Transporte
Combustible,Transporte
Taxi de Sitio,Transporte
Botanas,Alimentacion
Terapia fisica,Salud
Adornos para casa,Vivienda
Electricidad,Servicios
Muebles sala,Vivienda
Seminario,Educación
Despensa,Alimentacion
Curso virtual,Educación
CURSO,Educación
gorra,Ocio
Cena en restaurante,Alimentacion
spa,Ocio
Servicio médico,Salud
Carne,Alimentacion
Servicio spa,Ocio
Reparación tubería,Vivienda
Desayuno,Alimentacion
Cita medica,Salud
Transporte público,Transporte
Servicio internet,Servicios
gas,Servicios
Analisis de laboratorio,Salud
Clases privadas,Educación
Compra libro,Ocio
Comida,Alimentacion
Lentes de sol,Ocio
Taller de idiomas,Educación
Recarga tarjeta movilidad,Transporte
recibo de luz,Servicios
Boleto parque,Ocio
Limpieza,Servicios
Disney plus,Ocio
Pago colegiatura,Educación
curso,Educación
antibiotico,Salud
Kit de ducha,Ocio
Antibiótico,Salud
Television por cable,Servicios
Visita turistica,Ocio
Boleto cine,Ocio
CURSO,Educación
joyeria,Ocio
Crema,Ocio
Pago credito hipotecario,Vivienda
Compra de muebles,Vivienda
cablebus,Transporte
gimnasio,Servicios
Artículos limpieza,Vivienda
Articulos limpieza,Vivienda
Reparación de plomería,Vivienda
Cocina,Vivienda
Tacos restaurante,Alimentacion
Pasaje urbano,Transporte
doctor,Salud
Seguro de vivienda,Vivienda
Decoracion hogar,Vivienda
Servicio Uber,Transporte
Boleto concierto,Ocio
Parque de diversiones,Ocio
suscripcion netflix,Ocio
Masaje,Ocio
Consulta médica,Salud
Clase de baile,Ocio
Recarga tarjeta transporte,Transporte
Inscripcion escuela,Educación
Abono hipoteca,Vivienda
Recarga de gas,Servicios
verdura,Alimentacion
Estacionamiento vehículo,Transporte
UBER,Transporte
Examen certificacion,Educación
Medicamento,Salud
Carga gas LP,Servicios
CAFÉ,Alimentacion
Estacionamiento vehiculo,Transporte
PREMIUM,Transporte
Pedido de comida,Alimentacion
Mensualidad del gimnasio,Servicios
Accesorios,Ocio
Clase particular,Educación
Pago telefonía,Servicios
Servicio de mantenimiento,Servicios
Pago inscripción,Educación
Agua embotellada,Alimentacion
Escuela,Educación
Herramientas hogar,Vivienda
FERRETERIA,Vivienda
Servicio de plomeria,Vivienda
TAXI,Transporte
mantenimiento edificio,Vivienda
fruta,Alimentacion
camiseta,Ocio
Francés,Educación
Limpieza,Servicios
autobus,Transporte
Pago de Agua,Servicios
RESTAURANTE,Alimentacion
Material de estudio,Educación
Curso en línea,Educación
Congreso académico,Educación
Combustible,Transporte
Servicios de reparación hogar,Vivienda
taxi sitio,Transporte
Productos limpieza,Vivienda
Pago de electricidad,Servicios
Suscripcion Paramount,Ocio
Servicio spa,Ocio
Bolso,Ocio
cablebus,Transporte
Pago Disney,Ocio
Frances,Educación
Lacteos,Alimentacion
autobus,Transporte
Carga de gasolina,Transporte
Factura agua,Servicios
Útiles escuela,Educación
Carne,Alimentacion
Articulos para hogar,Vivienda
Latte,Alimentacion
Cafetería,Alimentacion
Compra en supermercado,Alimentacion
Artículos de limpieza,Vivienda
Zapatos,Ocio
Materiales escolares,Educación
pastilla,Salud
Pasaje autobus,Transporte
Evento,Ocio
Urgencias medicas,Salud
Pago cable,Servicios
examen medico,Salud
Suscripcion Netflix,Ocio
SACMEX,Servicios
Karaoke,Ocio
FERRETERIA,Vivienda
Huevos,Alimentacion
Comida rapida restaurante,Alimentacion
Consulta médica,Salud
Matcha latte,Alimentacion
Mantenimiento departamento,Vivienda
Uber Eats,Alimentacion
Compra ferreteria,Vivienda
TELCEL,Servicios
Antibiotico,Salud
Consola videojuego,Ocio
Electrodomésticos,Vivienda
Pago celular,Servicios
Festival música,Ocio
Lácteos,Alimentacion
Telefonia celular,Servicios
LIBRO,Ocio
Limpieza,Servicios
Tanque de gasolina,Transporte
Doctor,Salud
UBER,Transporte
gasolina,Transporte
Disney plus,Ocio
Bolso,Ocio
Cafetería,Alimentacion
Taxi de Sitio,Transporte
Boliche,Ocio
ferreteria,Vivienda
Comida,Alimentacion
internet,Servicios
ciclismo,Ocio
Restaurante,Alimentacion
Productos de limpieza,Vivienda
Masaje,Ocio
Compra de muebles,Vivienda
Libro escolar,Educación
Compra limpieza hogar,Vivienda
pemex,Transporte
Visita turística,Ocio
Compra utiles escolares,Educación
Streaming,Ocio
Servicio cable,Servicios
Analisis Laboratorio,Salud
Materiales escolares,Educación
Cocina,Vivienda
Diplomado profesional,Educación
Farmacia del Ahorro,Salud
Examen de laboratorio,Salud
Examen de laboratorio,Salud
Reparacion caldera,Servicios
Consulta doctor,Salud
Servicios de reparación hogar,Vivienda
playera,Ocio
Yogur,Alimentacion
Ropa,Ocio
UNIVERSIDAD,Educación
Despensa Walmart,Alimentacion
Pago de hipoteca,Vivienda
Kit de ducha,Ocio
Inscripción curso,Educación
Comida rapida,Alimentacion
verdura,Alimentacion
Cafeteria local,Alimentacion
Material educativo,Educación
Ingles,Educación
Gasolinera PEMEX,Transporte
Taxi sitio,Transporte
Recibo de agua,Servicios
Suscripcion Disney,Ocio
Pago de television por cable,Servicios
Compra de tortillas,Alimentacion
pintura,Vivienda
Comisión Federal de Electricidad,Servicios
Inscripción universidad,Educación
Refrescos,Alimentacion
plomeria,Vivienda
Estacionamiento vehiculo,Transporte
Reparación caldera,Servicios
Tanque de gas,Servicios
Consulta doctor,Salud
Servicio de cable,Servicios
Uber viaje,Transporte
Carniceria,Alimentacion
Mantenimiento de caldera,Servicios
Congreso académico,Educación
consulta medica,Salud
restaurante,Alimentacion
Gasolina magna,Transporte
Pintura interiores,Vivienda
Farmacia similares,Salud
Analisis Laboratorio,Salud
Credito hipotecario,Vivienda
Tanque de gas,Servicios
Francés,Educación
Pasatiempo,Ocio
Cena,Alimentacion
cablebus,Transporte
Hospitalizacion,Salud
Compra de muebles,Vivienda
Carga gasolina,Transporte
Factura agua,Servicios
metro,Transporte
Diplomado,Educación
Servicio de mantenimiento,Servicios
Pago television por cable,Servicios
Latte,Alimentacion
curso en linea,Educación
Recibo servicio,Servicios
Reparación casa,Vivienda
Abono Hipoteca,Vivienda
gas natural,Servicios
Reparacion caldera,Servicios
Pago gimnasio,Servicios
Muebles,Vivienda
Telefonía móvil,Servicios
stream,Ocio
Camiseta,Ocio
Diplomado,Educación
Certificación,Educación
Consulta nutricional,Salud
Metro,Transporte
cine,Ocio
Hipoteca,Vivienda
UNIVERSIDAD,Educación
Transporte por aplicación,Transporte
perfume,Ocio
Entrada cine,Ocio
Tour turístico,Ocio
Caseta,Transporte
Pintura interiores,Vivienda
Cafe,Alimentacion
Compra libros escolares,Educación
Kit de ducha,Ocio
Huevos,Alimentacion
FERRETERIA,Vivienda
pemex,Transporte
Examen certificacion,Educación
MAGNA,Transporte
Pago gas natural,Servicios
certificacion,Educación
Congreso academico,Educación
Supermercado,Alimentacion
Taxi sitio,Transporte
CFE,Servicios
Pan dulce,Alimentacion
Entrada concierto,Ocio
Botanas,Alimentacion
Compra farmacia,Salud
Recarga tarjeta movilidad,Transporte
Mensualidad escuela,Educación
Disney+,Ocio
Gym,Servicios
curso,Educación
Recarga Metro,Transporte
Gym,Servicios
Falda,Ocio
Compra videojuego,Ocio
Medicina,Salud
Examen certificacion,Educación
Cómic,Ocio
Utensilios de cocina,Vivienda
combustible,Transporte
Urgencias medicas,Salud
supermercadoDESPENSA,Alimentacion
Útiles escolares,Educación
curso,Educación
Consulta doctor,Salud
combustible,Transporte
Inscripcion escuela,Educación
certificacion,Educación
Abono hipoteca,Vivienda
Articulos de limpieza,Vivienda
tren suburbano,Transporte
Viaje transporte,Transporte
Autobus,Transporte
Farmacia,Salud
walmart,Alimentacion
Certificacion profesional,Educación
Boleto cablebus,Transporte
Limpieza,Servicios
Lacteos,Alimentacion
Libro,Ocio
uber,Transporte
laboratorio medico,Salud
Patinaje,Ocio
ESCUELA,Educación
PEMEX,Transporte
Mantenimiento hogar,Vivienda
Material de estudio,Educación
Muebles,Vivienda
Ropa bazar,Ocio
Consulta medica,Salud
Antibióticos,Salud
Mensualidad hipoteca,Vivienda
Mercado,Alimentacion
Examen certificación,Educación
Frutas,Alimentacion
Servicio Uber,Transporte
Carga gas LP,Servicios
Seminario,Educación
Consulta medica,Salud
Servicio médico,Salud
Inscripcion universidad,Educación
Seminario,Educación
Curso inglés,Educación
Compra en mercado,Alimentacion
Factura agua,Servicios
perfume,Ocio
Uber eats,Alimentacion
Gas natural,Servicios
Tarjeta Metro,Transporte
Pasaje tren,Transporte
Compra farmacia,Salud
Televisión por cable,Servicios
Pasaje de autobus,Transporte
Compra de alimentos,Alimentacion
Servicios de reparación hogar,Vivienda
perfume,Ocio
combustible,Transporte
Pago seguro medico,Salud
Recibo gas,Servicios
Recarga Metro,Transporte
Abono hipoteca,Vivienda
Television por cable,Servicios
PREMIUM,Transporte
Metro,Transporte
Reparación plomería,Vivienda
vegetales,Alimentacion
Herramientas hogar,Vivienda
Mensualidad escolar,Educación
Calzado,Ocio
Cablebus CDMX,Transporte
Museo,Ocio
Psicólogo,Salud
Carniceria,Alimentacion
Mantenimiento departamento,Vivienda
WALMART,Alimentacion
Plan internet,Servicios
Lentes de sol,Ocio
analisis laboratorio,Salud
Libros escolares,Educación
gorra,Ocio
Materiales escolares,Educación
Taxi,Transporte
Reparación tubería,Vivienda
Utiles escolares,Educación
vegetales,Alimentacion
Útiles escuela,Educación
limpieza,Servicios
TAXI,Transporte
Mensualidad universidad,Educación
Estudio médico,Salud
Crédito hipotecario,Vivienda
RECIBO CFE,Servicios
dentista,Salud
Muebles sala,Vivienda
verdura,Alimentacion
Boleto de autobús,Transporte
Pago mensualidad escolar,Educación
Tianguis,Alimentacion
PERFUME,Ocio
Pago combustible,Transporte
Utiles escuela,Educación
Pago universidad,Educación
streaming,Ocio
Pago Paramount,Ocio
certificacion,Educación
Matcha,Alimentacion
vegetales,Alimentacion
Frutas,Alimentacion
recibo de luz,Servicios
Alquiler vivienda,Vivienda
Cablebus CDMX,Transporte
Patinaje,Ocio
cartera,Ocio
despensa,Alimentacion
Laboratorio,Salud
Pago cable,Servicios
Cómic,Ocio
Reloj,Ocio
Despensa quincenal,Alimentacion
Carga gas LP,Servicios
Suscripcion de streaming,Servicios
Pemex,Transporte
Cocina,Vivienda
Carga Gas LP,Servicios
Matcha latte,Alimentacion
Calzado,Ocio
Consulta nutricional,Salud
Servicio agua,Servicios
CFE,Servicios
Novela,Ocio
Transporte por aplicación,Transporte
Consola videojuego,Ocio
Conferencia academica,Educación
Mensualidad escolar,Educación
UBER,Transporte
Cocina,Vivienda
Gym,Servicios
Entrada evento,Ocio
Inscripción universidad,Educación
Urgencias medicas,Salud
Pago universidad,Educación
Pasaje de autobus,Transporte
Café espresso,Alimentacion
Joyería,Ocio
Laboratorio medico,Salud
Recarga Telcel,Servicios
Tutorías,Educación
Muebles sala,Vivienda
Pastillas,Salud
Consulta doctor,Salud
Limpieza del hogar,Vivienda
Lentes,Ocio
Articulos limpieza,Vivienda
Tacos,Alimentacion
pastillas,Salud
Transporte urbano,Transporte
Disney,Ocio
delivery comida,Alimentacion
Jarabe,Salud
Cablebús,Transporte
Artículos limpieza,Vivienda
tianguis,Alimentacion
Clases de matemáticas,Educación
Videojuegos,Ocio
Gas Natural,Servicios
Recibo de gas,Servicios
Tenis,Ocio
Reparacion hogar,Vivienda
Matcha latte,Alimentacion
pago agua,Servicios
Superercado,Alimentacion
tren suburbano,Transporte
Walmart,Alimentacion
medicina,Salud
Reparacion de plomeria,Vivienda
Reparación plomería,Vivienda
Abono Hipoteca,Vivienda
Compra de alimentos,Alimentacion
Transporte por aplicación,Transporte
Pollo,Alimentacion
Televisión por cable,Servicios
Pantalon,Ocio
Colegiatura,Educación
Mantenimiento hogar,Vivienda
Cafe,Alimentacion
TELCEL,Servicios
PERFUME,Ocio
Compra utiles escolares,Educación
renta,Vivienda
Telefonía celular,Servicios
Cena en restaurante,Alimentacion
Tarjeta Metro,Transporte
Hospital,Salud
Reparacion hogar,Vivienda
UberEats,Alimentacion
Conferencia academica,Educación
Pago limpieza,Servicios
Consulta médica,Salud
Curso en linea,Educación
Disney+,Ocio
Seminario académico,Educación
Mantenimiento edificio,Vivienda
Compra alimentos,Alimentacion
ESCUELA,Educación
Festival musica,Ocio
Cable,Servicios
Receta medica,Salud
Collar,Ocio
Estacionamiento vehiculo,Transporte
Pago celular mensual,Servicios
recarga telcel,Servicios
Pago credito hipotecario,Vivienda
Artículos limpieza,Vivienda
Cablebus CDMX,Transporte
Sombrero,Ocio
Lacteos,Alimentacion
CFE pago,Servicios
Compra pintura,Vivienda
MEDICINA,Salud
Mantenimiento departamento,Vivienda
Reparacion hogar,Vivienda
Botanas,Alimentacion
gas lp,Servicios
CFE,Servicios
Taxi sitio,Transporte
Carga de gasolina,Transporte
Servicio gasolinera,Transporte
Boleto de autobus,Transporte
Disney+,Ocio
Taxi sitio,Transporte
Reparacion de plomeria,Vivienda
Café espresso,Alimentacion
Combustible,Transporte
Seguro de gastos médicos,Salud
Renta,Vivienda
Artículos de limpieza,Vivienda
Congreso academico,Educación
Hipoteca,Vivienda
Factura agua,Servicios
Decoración del hogar,Vivienda
farmacia similares,Salud
tren suburbano,Transporte
Plomeria,Vivienda
Natacion,Ocio
Limpieza del hogar,Vivienda
Pasaje tren,Transporte
Médico,Salud
Medicamento,Salud
Congreso académico,Educación
Viaje Didi,Transporte
Comida en restaurante,Alimentacion
Utiles escolares,Educación
Lacteos,Alimentacion
Pago de internet,Servicios
Paseo turístico,Ocio
antibiotico,Salud
Suscripción Paramount,Ocio
Combustible,Transporte
Hipoteca,Vivienda
Pasaje autobus,Transporte
Cablebus CDMX,Transporte
Decoracion casa,Vivienda
Gas natural,Servicios
Tianguis,Alimentacion
universidad,Educación
Servicio agua,Servicios
Reparacion casa,Vivienda
Factura agua,Servicios
Carga gasolina,Transporte
Tanque gasolina,Transporte
Hobby,Ocio
Cita doctor,Salud
PREMIUM,Transporte
Clases de inglés,Educación
Matcha,Alimentacion
Suscripcion Disney,Ocio
Estacionamiento vehículo,Transporte
Telcel,Servicios
Hospitalización,Salud
MAGNA,Transporte
Plomeria,Vivienda
Pasaje tren,Transporte
Limpieza,Servicios
Colegio,Educación
Inscripcion escuela,Educación
Paseo,Ocio
concierto,Ocio
Servicio agua,Servicios
Cena,Alimentacion
Pintura hogar,Vivienda
pago cfe,Servicios
Agua potable,Servicios
Francés,Educación
Hobby,Ocio
Consulta especialista,Salud
Hospitalización,Salud
Pasaje urbano,Transporte
Terapia física,Salud
Mensualidad escolar,Educación
Fotografía,Ocio
Suscripcion de streaming,Servicios
Reparación casa,Vivienda
Francés,Educación
Carga Gas LP,Servicios
Perfume,Ocio
Limpieza casa,Servicios
Mueble para sala,Vivienda
Autobus,Transporte
Servicios de reparacion hogar,Vivienda
Superercado,Alimentacion
TIANGUIS,Alimentacion
Certificación,Educación
medicina,Salud
Pago agua,Servicios
Suscripcion Disney,Ocio
Terapia física,Salud
Disney+,Ocio
Didi food,Alimentacion
Recibo CFE,Servicios
Pago limpieza,Servicios
CAMISETA,Ocio
WALMART,Alimentacion
Servicio medico,Salud
Decoración hogar,Vivienda
Pulsera,Ocio
Abarrotes tienda,Alimentacion
Terapia fisica,Salud
Disney+,Ocio
Congreso académico,Educación
Servicio telefonico,Servicios
Pago de escuela,Educación
Pago de universidad,Educación
medico,Salud
Boleto de autobús,Transporte
Curso en línea,Educación
Mensualidad gimnasio,Servicios
Autopista,Transporte
fruta,Alimentacion
Reparación hogar,Vivienda
Pescado,Alimentacion
Refrescos,Alimentacion
Pago inscripción,Educación
Set de ducha,Ocio
Streaming,Ocio
Colegiatura,Educación
cafe,Alimentacion
Evento,Ocio
Entrada teatro,Ocio
Cena en restaurante,Alimentacion
Tortilleria,Alimentacion
Crema,Ocio
Estacionamiento vehículo,Transporte
Clases de ingles,Educación
Matcha latte,Alimentacion
Vitaminas,Salud
Productos de limpieza,Vivienda
Recibo de luz,Servicios
Pasaje tren,Transporte
Analgésico,Salud
metro,Transporte
medicamento,Salud
Paramount+,Ocio
Compra farmacia,Salud
Utiles escuela,Educación
farmacia similares,Salud
Curso en línea,Educación
pintura,Vivienda
Cita doctor,Salud
Vestido,Ocio
laboratorio medico,Salud
Universidad,Educación
Transporte urbano,Transporte
Tour turistico,Ocio
Hipoteca,Vivienda
Servicio spa,Ocio
Seguro medico,Salud
uber,Transporte
Pago telefonía,Servicios
Recibo de gas,Servicios
Diplomado,Educación
Plomeria,Vivienda
pemex,Transporte
Tour por ciudad,Ocio
Servicio medico,Salud
Ferretería,Vivienda
Compra libro,Ocio
Verduras,Alimentacion
Pago de escuela,Educación
Novela,Ocio
Pago credito hipotecario,Vivienda
Leche,Alimentacion
Té y galletas,Alimentacion
Yogur,Alimentacion
Decoración del hogar,Vivienda
Compra ferreteria,Vivienda
Curso de idiomas,Educación
Clases de matematicas,Educación
Pago renta,Vivienda
Servicio medico,Salud
Camion,Transporte
Autobus,Transporte
Botanas,Alimentacion
TIANGUIS,Alimentacion
Pago de escuela,Educación
Cafe de cafeteria,Alimentacion
Farmacia del Ahorro,Salud
Electrodomestico,Vivienda
Mensualidad universidad,Educación
Taxi de sitio,Transporte
Cable,Servicios
Taxi sitio,Transporte
Pasaje autobus,Transporte
Agua embotellada,Alimentacion
Decoracion casa,Vivienda
Herramientas hogar,Vivienda
muebles,Vivienda
Didi,Transporte
Productos limpieza,Vivienda
Walmart,Alimentacion
Caseta,Transporte
Francés,Educación
Compra en mercado,Alimentacion
Rappi comida,Alimentacion
fruta,Alimentacion
Telefonia movil,Servicios
Consulta especialista,Salud
Servicio gas,Servicios
Servicio spa,Ocio
Combustible,Transporte
Seguro de casa,Vivienda
Servicio Didi,Transporte
Farmacia del Ahorro,Salud
Congreso académico,Educación
Cafeteria,Alimentacion
Mantenimiento servicio,Servicios
Cocina,Vivienda
Compra electrodomestico,Vivienda
Servicio medico,Salud
Yogurt,Alimentacion
Latte,Alimentacion
Colonia,Ocio
Examen certificacion,Educación
Suscripcion de streaming,Servicios
pemex,Transporte
Vitamina,Salud
Cafetería local,Alimentacion
Te y galletas,Alimentacion
LIBRO,Ocio
Comida para llevar,Alimentacion
Servicio internet,Servicios
Consola videojuego,Ocio
Juegos,Ocio
Telefonia celular,Servicios
Reparacion caldera,Servicios
Leche,Alimentacion
Ferreteria,Vivienda
Cable,Servicios
Cablebus CDMX,Transporte
Utiles escuela,Educación
Seminario académico,Educación
Pago de colegiatura,Educación
Viaje en taxi,Transporte
Gas natural,Servicios
Carga gas LP,Servicios
Visita turística,Ocio
Suscripcion Disney,Ocio
Juego,Ocio
Pasaje de autobus,Transporte
Certificación,Educación
Panaderia,Alimentacion
Cable,Servicios
panaderia,Alimentacion
pemex,Transporte
Mensualidad renta,Vivienda
pemex,Transporte
DiDi,Transporte
Odontologo,Salud
Servicio celular,Servicios
Pago de escuela,Educación
Medico,Salud
curso en linea,Educación
Abono Hipoteca,Vivienda
Parque de diversiones,Ocio
Comida,Alimentacion
Analisis de laboratorio,Salud
Reloj,Ocio
Mantenimiento departamento,Vivienda
Compra comida,Alimentacion
Mensualidad gimnasio,Servicios
NETFLIX,Ocio
Boleto de autobús,Transporte
Recibo CFE,Servicios
Abono hipoteca ,Vivienda
Certificación,Educación
Cómic,Ocio
Camión,Transporte
Recarga Telcel,Servicios
Curso online,Educación
Seguro médico,Salud
Farmacia,Salud
COLEGIATURA,Educación
stream,Ocio
Netflix,Ocio
Cafe,Alimentacion
Estudio medico,Salud
medicamento,Salud
Dentista,Salud
Reparación tubería,Vivienda
Panadería,Alimentacion
Crema,Ocio
Fotografia,Ocio
Cafeteria local,Alimentacion
MEDICINA,Salud
Cable,Servicios
concierto,Ocio
Tanque gasolina,Transporte
gas lp,Servicios
Herramientas,Vivienda
Cuota mantenimiento,Vivienda
Internet,Servicios
Farmacia,Salud
Perfume,Ocio
Compra pintura,Vivienda
GORRA,Ocio
gorra,Ocio
GASOLINA,Transporte
Servicio cable,Servicios
Gasolina premium,Transporte
Walmart,Alimentacion
Inscripcion curso,Educación
Pago gas,Servicios
Matcha latte,Alimentacion
Disney plus,Ocio
Libros de texto,Educación
Refrescos,Alimentacion
tortillas,Alimentacion
Seguro de casa,Vivienda
Compra medicamentos,Salud
Ferretería,Vivienda
Pago CFE,Servicios
Antibioticos,Salud
Viaje,Ocio
Boleto tren,Transporte
COLEGIATURA,Educación
internet,Servicios
Carga de gasolina,Transporte
Servicio gasolinera,Transporte
mantenimiento edificio,Vivienda
Pemex,Transporte
electricidad,Servicios
Matcha latte,Alimentacion
Cablebus,Transporte
Consulta doctor,Salud
Receta medica,Salud
laboratorio,Salud
Compra en tianguis,Alimentacion
Servicio limpieza,Servicios
Utensilios de cocina,Vivienda
Farmacia,Salud
Pago internet,Servicios
Tarjeta Metro,Transporte
vegetales,Alimentacion
Yogurt,Alimentacion
Consulta con doctor,Salud
Estacionamiento,Transporte
despensa,Alimentacion
Frutas,Alimentacion
Pago mensual renta,Vivienda
Cena,Alimentacion
Peaje,Transporte
tortilleria,Alimentacion
Tutorías,Educación
didi,Transporte
Despensa Walmart,Alimentacion
Cena en restaurante,Alimentacion
Pago de universidad,Educación
GYM,Servicios
Te y galletas,Alimentacion
dentista,Salud
Servicio de plomeria,Vivienda
Pescado,Alimentacion
universidad,Educación
Frutas y verduras,Alimentacion
Abono hipoteca,Vivienda
Autopista,Transporte
Recibo gas,Servicios
Reparacion electrodomestico,Vivienda
Muebles sala,Vivienda
Café espresso,Alimentacion
Seminario,Educación
Tortillería,Alimentacion
Servicio de internet,Servicios
Boleto cine,Ocio
Combustible,Transporte
sacmex,Servicios
Gas Natural,Servicios
Utiles escuela,Educación
Taxi Didi,Transporte
Inscripción universidad,Educación
Servicio mantenimiento,Servicios
renta,Vivienda
Curso en linea,Educación
RECIBO CFE,Servicios
LIBRO,Ocio
Suscripcion de streaming,Servicios
Gasolina Magna,Transporte
Seguro de casa,Vivienda
Pago gas natural,Servicios
UBER,Transporte
Boletos cine,Ocio
Curso de idiomas,Educación
Pan,Alimentacion
Material escolar,Educación
Ingles,Educación
Inscripción curso,Educación
Herramientas hogar,Vivienda
Peaje,Transporte
taxi sitio,Transporte
Artículos limpieza,Vivienda
Mensualidad universidad,Educación
Plan internet,Servicios
Compra comida,Alimentacion
Telefonia movil,Servicios
Utiles escuela,Educación
Gasolina Premium,Transporte
Pago de gimnasio,Servicios
taxi,Transporte
Taxi sitio,Transporte
Estacionamiento vehiculo,Transporte
Gas Natural,Servicios
Comision Federal de Electricidad,Servicios
Baile,Ocio
Jarabe,Salud
Cuota autopista,Transporte
Novela,Ocio
Hobby,Ocio
Mensualidad del gimnasio,Servicios
TELCEL,Servicios
Curso en línea,Educación
Bolso,Ocio
Congreso académico,Educación
Útiles escuela,Educación
Pintura para casa,Vivienda
senderismo,Ocio
Juego,Ocio
Inscripcion escolar,Educación
Cena en restaurante,Alimentacion
Pago de celular,Servicios
Karaoke,Ocio
Cuota mantenimiento,Vivienda
Mensualidad escuela,Educación
Lentes de sol,Ocio
Renta mensual,Vivienda
Consulta médica,Salud
Tren Suburbano,Transporte
ciclismo,Ocio
Cita medica,Salud
Cocina,Vivienda
Pago renta,Vivienda
Pago gas natural,Servicios
Pemex,Transporte
Medicina,Salud
Universidad,Educación
Psicólogo,Salud
Telefonia celular,Servicios
Frances,Educación
Recibo servicio,Servicios
Comida rapida restaurante,Alimentacion
Cuota de mantenimiento,Vivienda
Pintura casa,Vivienda
gimnasio,Servicios
Pago de gimnasio,Servicios
Queso,Alimentacion
colegiatura,Educación
Comida rapida,Alimentacion
Compra limpieza hogar,Vivienda
comida rapida,Alimentacion
Pago inscripción,Educación
Utensilios cocina,Vivienda
Compra libro escolar,Educación
Libro de texto,Educación
suscripcion netflix,Ocio
Agua embotellada,Alimentacion
joyeria,Ocio
Pago telefonia,Servicios
Viaje en taxi,Transporte
Hospitalizacion,Salud
Pago gimnasio,Servicios
Combustible,Transporte
Consulta especialista,Salud
Suscripción Disney,Ocio
Cafeteria,Alimentacion
Tacos,Alimentacion
Hobby,Ocio
Televisión por cable,Servicios
Tianguis,Alimentacion
Cómic,Ocio
Comida rapida,Alimentacion
Clases de matemáticas,Educación
Compra en tianguis,Alimentacion
Pago seguro medico,Salud
Gasolina premium,Transporte
Adornos hogar,Vivienda
Set de ducha,Ocio
transporte publico,Transporte
Fibra óptica,Servicios
Pintura para interiores,Vivienda
Tanque gasolina,Transporte
Alquiler,Vivienda
Boleto autobus,Transporte
Cartera,Ocio
Autobus,Transporte
Agua potable,Servicios
Curso de idiomas,Educación
Analisis Laboratorio,Salud
DiDi,Transporte
Pago de universidad,Educación
Útiles escuela,Educación
Pago hipoteca,Vivienda
gasolina,Transporte
Cuota de mantenimiento,Vivienda
Farmacia Guadalajara,Salud
Factura agua,Servicios
Transporte urbano,Transporte
Crema facial,Ocio
Compra de comida,Alimentacion
Curso idiomas,Educación
delivery comida,Alimentacion
Didi,Transporte
Agua potable,Servicios
recibo de luz,Servicios
Pago servicio,Servicios
Gas natural,Servicios
Consulta dental,Salud
Taxi de sitio,Transporte
Productos de limpieza,Vivienda
Parque de diversiones,Ocio
Receta medica,Salud
Pago inscripcion,Educación
Clases de matemáticas,Educación
Decoracion casa,Vivienda
Material ferreteria,Vivienda
Mensualidad escuela,Educación
Articulos limpieza,Vivienda
Inscripción escuela,Educación
FARMACIA,Salud
Consulta especialista,Salud
Café espresso,Alimentacion
Articulos limpieza,Vivienda
Carga Gas LP,Servicios
Tacos,Alimentacion
Servicio Didi,Transporte
transporte publico,Transporte
Pizza,Alimentacion
Adornos hogar,Vivienda
Pago luz,Servicios
Servicio celular,Servicios
dentista,Salud
Recarga gas,Servicios
Plan de internet,Servicios
Gasolinera PEMEX,Transporte
Curso virtual,Educación
certificacion,Educación
Productos para hogar,Vivienda
Supermercado,Alimentacion
Frutas y verduras,Alimentacion
Congreso académico,Educación
curso en linea,Educación
Carga de gasolina,Transporte
pago agua,Servicios
Reparación electrodoméstico,Vivienda
Muebles para sala,Vivienda
Combustible,Transporte
Pago inscripcion,Educación
Pintura casa,Vivienda
Mensualidad renta,Vivienda
Didi food,Alimentacion
TIANGUIS,Alimentacion
Jarabe,Salud
Receta medica,Salud
Compra libros escolares,Educación
antibiotico,Salud
Escuela,Educación
Karaoke,Ocio
Comida rapida restaurante,Alimentacion
recibo de luz,Servicios
Reparación casa,Vivienda
Compra medicamento,Salud
COLEGIATURA,Educación
Metró,Transporte
Articulos de limpieza,Vivienda
